id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F013,API /api/quote/pdf,Quote PDF from edited lines,"As an estimator, I want to download the PDF after fixing matches, so the final quote reflects my overrides.","POST {matched, tier, customer} -> re-assembles the quotation and streams application/pdf with a Content-Disposition filename. Reflects the (possibly overridden) matched array.",apps/bom-quotation/server/src/app.ts:69,tested,"POST /api/quote/pdf {matched from /api/quote}","pass: application/pdf returned, %PDF header, Content-Disposition set",none,,,,
F014,API /api/price,Re-price one overridden line,"As an estimator, I want totals to update when I change a line, so I see the price impact immediately (reward now).","POST {line, tier, customer} -> {quoteLine} for a matched line (null if no chosen). Lets the UI live-update without re-running the pipeline.",apps/bom-quotation/server/src/app.ts:89,tested,"POST /api/price {line: a matched line}","pass: quoteLine.lineTotal = 80360",none,,,,
F015,API /api/config + /api/catalog,Config & catalog for the UI,"As the UI, I want the company, rules (tiers), and catalog, so I can render the header, the tier picker, and the override search.","GET /api/config -> {company, rules}; GET /api/catalog -> CatalogPart[]. Drive the tier select labels and currency from config (recognition over recall).",apps/bom-quotation/server/src/app.ts:30,tested,"GET /api/config + GET /api/catalog","pass: Voltline + 4 tiers; 43 catalog parts",none,,,,
F016,CLI setup,Load / reload the catalog,"As an operator, I want to embed the catalog into samesake (and reset after edits), so matching works against current parts.","bun run setup applies the entity schema + upserts/embeds every catalog part (idempotent). --reset drops project_<slug> first. Fails fast with a clear message if DATABASE_URL or GEMINI_API_KEY is missing.",apps/bom-quotation/server/src/setup.ts:21,tested,"bun run setup --reset","pass: dropped + recreated schema, 43 parts embedded",none,,,,
F017,CLI quote,One-shot CLI quote,"As an operator, I want to quote a BOM file from the terminal, so I can test without the UI.","bun run quote [file] -> console match summary (status per line) + data/quote-output.{pdf,json}. Defaults to the sample BOM. Requires DATABASE_URL + GEMINI_API_KEY.",apps/bom-quotation/server/src/run.ts:18,tested,"bun run quote (xlsx) and bun run quote bom.pdf","pass: per-line summary + valid pdf/json written",none,,,,
F018,scripts gen:bom,Generate a sample BOM,"As an operator, I want a realistic messy sample BOM (xlsx + pdf), so I can demo and test the pipeline.","Writes data/sample-bom/bom.{xlsx,pdf} with 16 lines of trade shorthand incl. one off-catalog item, exercising extraction, normalization, spec-gating, and the review path.",apps/bom-quotation/scripts/gen-sample-bom.ts:1,tested,"bun run gen:bom","pass: bom.xlsx (18KB) + bom.pdf (3KB), 16 lines",none,,,,
F019,web Upload,Upload BOM + customer/tier,"As an estimator, I want to drop in a BOM file and set the customer and pricing tier, so I can start a quote in seconds.","Drag/drop or click-to-browse, accepts .xlsx/.pdf only; shows the chosen filename; customer text input; tier select populated from /api/config with sensible default; Generate disabled until a file + config are ready (ux:cut-the-load, recognition over recall).",apps/bom-quotation/web/src/routes/index.tsx:165,tested,"vite build + tsc + code review (dropzone, accept filter, tier from config)","pass: builds, 0 tsc errors, tier select bound to config; no browser click-through",none,,,,
F020,web Generate,Generate quote + loading state,"As an estimator, I want clear feedback while the quote computes, so a 30-60s wait doesn't look frozen (ux:states-are-features).","On Generate: POST /api/quote (multipart), show a spinner cycling stage labels (Parsing/Extracting/Matching/Pricing), disable the button, surface errors in an error banner, clear prior results.",apps/bom-quotation/web/src/routes/index.tsx:80,tested,"code review + dev-server proxy reaches /api/quote","pass: designed loading + error states present (stage labels are time-based, not real progress — acceptable)",none,,,,
F021,web Review,Review matches table,"As an estimator, I want each line's match, confidence, and price in one table, so I can scan what's trustworthy vs needs attention.","One row per matched line: status pill (matched/review/unmatched), qty+unit, normalized description, matched part (code+brand) with a confidence bar+%, line total. Empty/no-match rows render 'No match'.",apps/bom-quotation/web/src/routes/index.tsx:243,tested,"code review + vite build","pass: pills, confidence bar, totals rendered; unmatched shows 'No match'",none,,,,
F022,web Override,Override a match,"As an estimator, I want to correct a flagged line from suggestions or a catalog search, so I never ship a wrong part.","review/unmatched rows show an Override select of alternatives + a Search catalog box (POST /api/match); choosing one sets chosen, flips to matched, fires /api/confirm to teach the matcher, and re-prices via /api/price (ux:recognition-over-recall, reward-now).",apps/bom-quotation/web/src/routes/index.tsx:389,tested,"code review + /api/match + /api/confirm + /api/price verified server-side","pass: override + search + confirm + reprice wired; override surfaced only on flagged rows (matched rows are spec-gated reliable — enhancement, not defect)",none,,,,
F023,web Summary,Live totals panel,"As an estimator, I want subtotal, savings, taxes and grand total that update as I fix lines, so I see the price as I work (ux:reward-now).","Summary recomputes from the priced lines client-side: subtotal, total savings (if any), each tax with %, grand total in the company currency; updates when an override re-prices a line.",apps/bom-quotation/web/src/routes/index.tsx:271,tested,"code review (computeTotals from pricedLines, memoised)","pass: totals derived from priced lines, currency from config",none,,,,
F024,web Download,Download quotation PDF,"As an estimator, I want to download the final branded PDF, so I can send it to the client (ux:design-the-end).","Download button POSTs the (overridden) matched lines to /api/quote/pdf and triggers a file download named after the quote no; disabled while generating or when no priced lines.",apps/bom-quotation/web/src/routes/index.tsx:301,tested,"code review + /api/quote/pdf verified server-side (returns application/pdf)","pass: blob download wired to the verified PDF endpoint",none,,,,
